business_id,company_name,sector,city,county,source,website,founded_year,evidence_urls,google_rating,google_review_count,institutional_refs,branches,warehouses,distribution_coverage,new_locations,hiring_visible,exports,new_products,vc_funded,accelerator_alumni,media_featured,linkedin_heavy,is_startup,status,added_date
1,Njoro Canning Factory,Agro-processing,Njoro,Nakuru,Google Maps search - agro processor Kenya,https://njorocanning.com/,1978,https://njorocanning.com/; https://www.businesslist.co.ke/company/paperbags-limited/374226,4.0,50,3,1,1,regional,0,True,True,2,False,False,False,False,False,Validated,2026-06-21
2,Broadways Bread,Food Manufacturing,Thika,Kiambu,News archives - bread companies Kenya,https://www.tuko.co.ke/business-economy/561135-list-top-bread-companies-kenya-owners-business-locations/,1958,https://www.tuko.co.ke/business-economy/561135-list-top-bread-companies-kenya-owners-business-locations/; Statista market research,4.2,100,2,2,1,national,1,True,False,2,False,False,False,False,False,Validated,2026-06-21
3,Mini-Bakeries Limited (Supa Loaf),Food Manufacturing,Port Reitz,Mombasa,News archives - bread companies Kenya,https://www.tuko.co.ke/business-economy/561135-list-top-bread-companies-kenya-owners-business-locations/,1970,https://www.tuko.co.ke/business-economy/561135-list-top-bread-companies-kenya-owners-business-locations/; Sagaci Research,4.3,150,1,3,1,national,2,True,False,1,False,False,False,False,False,Validated,2026-06-21
4,Cold Solutions Kenya,Cold Chain Logistics,Tatu City,Kiambu,Google search - cold chain logistics Kenya,https://www.coldsolutionskenya.com/,,https://www.coldsolutionskenya.com/; https://www.facebook.com/coldsolutionskenya,4.5,25,2,1,1,regional,1,True,True,1,False,False,False,False,False,Pending,2026-06-21
5,Paperbags Limited,Packaging,Nairobi,Nairobi,Business directory - packaging companies Kenya,https://www.businesslist.co.ke/company/paperbags-limited/374226,1967,https://www.businesslist.co.ke/company/paperbags-limited/374226,3.8,15,1,1,1,local,0,False,False,0,False,False,False,False,False,Pending,2026-06-21
6,SKL (Shri Krishana Overseas PLC),Packaging,Nairobi,Nairobi,Google search - packaging manufacturer Kenya,https://skl.co.ke/,,https://skl.co.ke/,0,0,1,2,0,local,0,False,False,1,False,False,False,False,False,Pending,2026-06-21
7,Devki Group,Manufacturing,Ruiru,Kiambu,News archives - manufacturing companies Kenya,https://devkigroupke.com/,,https://devkigroupke.com/,0,0,3,5,2,national,2,True,True,3,False,False,False,False,False,Pending,2026-06-21
8,Kenafric Industries,Food Manufacturing,Nairobi,Nairobi,News archives - manufacturing companies Kenya,https://www.kenafricind.com/,,https://www.kenafricind.com/,0,0,2,3,1,national,1,True,False,2,False,False,False,False,False,Pending,2026-06-21
9,Bamburi Cement,Construction Materials,Nairobi,Nairobi,News archives - manufacturing companies Kenya,https://www.lafarge.co.ke/,1950,https://www.lafarge.co.ke/,0,0,4,3,2,national,3,True,True,1,False,False,True,False,False,Pending,2026-06-21
10,Chandaria Industries,Manufacturing,Ruaraka,Nairobi,News archives - manufacturing companies Kenya,https://www.chandaria.com/,,https://www.chandaria.com/,0,0,2,2,1,regional,1,True,False,1,False,False,False,False,False,Pending,2026-06-21
